id,user_id,name,start_date,created_at,snacks
1,2,"Plan 2025-12-28",2025-12-28,2025-12-28T00:14:30-06:00,
2,2,"Plan 2025-12-28",2025-12-28,2025-12-28T00:38:39-06:00,
3,2,"Plan 2025-12-28",2025-12-28,2025-12-28T00:50:57-06:00,
4,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:01:48-06:00,
5,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:06:32-06:00,
6,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:09:09-06:00,
7,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:11:33-06:00,
8,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:15:10-06:00,
9,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:24:34-06:00,
10,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:47:22-06:00,
11,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:47:55-06:00,
12,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:49:22-06:00,
13,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:53:02-06:00,
14,2,"Plan 2025-12-28",2025-12-28,2025-12-28T01:55:11-06:00,
15,2,"Plan 2025-12-28",2025-12-28,2025-12-28T02:02:17-06:00,
16,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:17:48-06:00,
17,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:20:54-06:00,
18,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:33:40-06:00,
19,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:35:44-06:00,
20,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:39:54-06:00,
21,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:41:57-06:00,
22,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:45:15-06:00,
23,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:53:35-06:00,
24,2,"Plan 2025-12-28",2025-12-28,2025-12-28T09:57:58-06:00,
25,2,"Plan 2025-12-28",2025-12-28,2025-12-28T10:03:52-06:00,
26,2,"Plan 2025-12-28",2025-12-28,2025-12-28T10:06:45-06:00,
27,2,"Plan 2025-12-28",2025-12-28,2025-12-28T10:10:58-06:00,
28,2,"Plan 2025-12-28",2025-12-28,2025-12-28T10:13:16-06:00,
29,2,"Plan 2025-12-28",2025-12-28,2025-12-28T10:14:58-06:00,
30,2,"Plan 2025-12-28",2025-12-28,2025-12-28T10:49:33-06:00,
31,2,"Plan 2025-12-28",2025-12-28,2025-12-28T10:51:13-06:00,
32,2,"Plan 2025-12-28",2025-12-28,2025-12-28T10:53:45-06:00,
33,2,"Plan 2025-12-28",2025-12-28,2025-12-28T11:01:27-06:00,
34,2,"Plan 2025-12-28",2025-12-28,2025-12-28T11:02:13-06:00,
35,2,"Plan 2025-12-28",2025-12-28,2025-12-28T13:17:50-06:00,
36,2,"Plan 2025-12-28",2025-12-28,2025-12-28T13:31:18-06:00,"Colaciones 11:00 - 12:00 am / 05:00 - 06:00 PM (NO REPETIR EN EL MISMO DIA) 2 veces al día entre las comidas principales, elegir de las siguientes opciones SALSA ROJA 4 tomates medianos maduros 1 cebolla blanca mediana, picada finamente 2 dientes de ajo, picados finamente 1 chile serrano o jalapeño, picado finamente (opcional, para un toque picante) 1 cucharada de aceite de oliva o vegetal Sal al gusto Pimienta al gusto Hojas de cilantro fresco picado (opcio- nal, para decorar)(Rinde 2 - 3 porciones) Medidas 1 taza (tz) = 240ml 1 cucharada (cda) = 15ml 1 cucharadita (Cdita) = 5mL Opci ó n 1 Opci ó n 2 Opci ó n 3 Opci ó n 4 🍌 Medio pl á tano con canela y almendras ½ pl á tano + 4 almendras fileteadas + espolvoreado de canela 🧊 Smoothie mini de frutos rojos ½ taza de frutos rojos + ½ taza de agua + hielos 🥭 Mango con chilito ½ taza de mango en cubos + ½ cdita de Taj í n 🥥 Coco rallado con yogurt natural ½ taza de yogurt natural bajo en grasa + 1 cucharadita de coco rallado Opci ó n 5 Opci ó n 6 Opci ó n 7 Opci ó n 8 🍉 1 taza de sand í a en cuadritos S ú per hidratante y ligera 💧 🍉 🍍 1 taza de pi ñ a en cubitos Refrescante, digestiva y dulce 🍍 ✨ 🥒 Pepinos con chilito y lim ó n 1 taza de pepino en tiras + 1 cdita de chilito en polvo + jugo de lim ó n 🍿 1 taza de palomitas naturales Hechas en aire o sart é n sin mantequilla SMOOTHIES POR LA MAÑANA en vez de desayuno o jugo s verdes para acom- pañar tu desayuno o de colacion 🥒 🍍 Jugo Verde Tropical"
